component_name,product_name,resolution_code,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_code,assignee_name
core,product_other,1,6,0,2,5,2,recommenders-inbox
engine,product_120,1,4,0,8,2,2,serg.boyko2011
compendium,product_52,1,4,0,3,2,2,raymond.auge
core,product_103,1,6,0,3,0,2,dirk.fauth
jst,product_164,1,6,0,4,1,6,jsholl
code assist,product_116,1,6,0,5,10,2,guy.g
wst,product_167,1,4,0,3,777,1,nitind
ui,product_69,1,4,0,2,3,2,jdt-ui-inbox
report,product_10,1,6,0,4,2,2,hustlg
ui,product_139,1,4,0,2,235,2,igor.burilo
ui,product_115,1,4,0,13,395,4,mike.pawlowski
marketplace,product_20,1,4,0,3,0,2,marketplace-inbox
code assist,product_116,1,6,0,12,20,2,php.ui-inbox
ecf,product_29,1,6,0,4,1,2,ecf.core-inbox
cvs,product_20,1,4,0,2,0,2,webmaster
p2,product_52,1,4,1,2,649,4,equinox.p2-inbox
tptp,product_173,1,6,0,15,82,4,pklicnik
outline views,product_116,1,6,0,4,133,5,ganoro
ui,product_115,1,4,0,2,0,4,pde-ui-inbox
client,product_110,1,4,0,2,0,2,mamacdon
modeling,product_129,1,6,0,3,0,2,konstantin
cdt,product_17,1,4,0,3,20,2,aleherb+eclipse
core,product_other,1,6,0,2,158,2,e4.xwt-inbox
wst,product_161,1,6,0,5,162,2,jlanuti
common,product_33,1,6,0,2,23,2,jfaltermeier
websocket,product_70,1,6,0,2,47,2,jesse.mcconnell
releng,product_117,1,4,0,4,2,2,kim.moir
swt,product_117,1,6,0,7,12,4,eclipse.felipe
swt,product_117,1,4,0,8,182,2,christophe.cornu+eclipse
p2,product_52,1,4,0,10,0,2,equinox.p2-inbox
sdo,product_31,1,4,0,5,0,2,david.mccann
tptp,product_173,1,6,0,7,0,2,paulslau
core,product_other,1,4,0,3,16,2,michael.ochmann
website,product_20,1,4,0,2,0,2,phoenix.ui-inbox
jst,product_164,1,6,0,11,1,5,nagrawal
node,product_110,1,4,0,4,0,5,xinyij
ui,product_115,1,4,0,14,1,5,dejan
update,product_117,1,4,0,4,8,2,dejan
lttng,product_78,1,6,0,3,14,2,bernd.hufmann
autotools,product_173,1,4,0,7,1,2,jjohnstn
doc,product_117,1,4,0,6,89,2,agarcher
core,product_170,1,6,0,10,564,2,jan.koehnlein
common,product_153,1,4,0,5,1,2,zoltan.ujhelyi
bugzilla,product_101,1,4,0,3,1,1,eclipse
git,product_110,1,4,0,10,66,2,bartosz.grabski
report,product_10,1,6,0,7,43,2,xuelan.li
content,product_49,1,6,0,16,25,4,jruehlin
query language,product_1,1,6,0,3,149,2,yvan.lussaud
report,product_10,1,4,0,4,5,2,jzhai
js tools,product_110,1,4,0,6,65,2,Michael_Rennie
build,product_115,1,4,0,3,331,2,pde-ui-inbox
edt,product_173,1,6,0,5,0,2,jvincens
releng,product_117,1,4,0,26,25,2,sravankumarl
ui,product_69,1,4,0,5,5,2,dirk_baeumer
update,product_117,1,4,0,7,2,2,platform-update-inbox
wst,product_167,1,4,0,3,5,2,d_a_carver
ui,product_69,1,4,0,5,19,2,markus.kell.r
wst,product_167,1,4,0,5,1133,4,nitind
scout,product_131,1,6,0,4,0,2,scout.core-inbox
ridget,product_126,1,4,0,9,152,2,riena.ui-inbox
incubator,product_52,1,4,0,4,0,2,equinox.incubator-inbox
cbi p2 repository aggregator,product_16,1,6,0,7,0,6,frederic.gurr
rse,product_141,1,4,0,8,1,2,dmcknigh
ui,product_117,1,4,0,6,1,2,loskutov
modules,product_other,1,6,0,5,0,2,ease-inbox
cdt,product_17,1,4,0,5,0,2,ken.ryall
diagrams,product_144,1,4,0,7,22,4,tigerstripe.core-inbox
sdo,product_31,1,4,0,3,7,4,matt.macivor
other,product_118,1,4,0,4,18,4,ahumphrey
samples,product_62,1,4,0,3,0,2,borlander
rdt,product_118,1,4,0,2,16,2,recoskie
stp,product_173,1,4,0,3,0,2,Adrian.skehill
target,product_142,1,4,0,2,0,2,uwe.st
jst,product_164,1,6,0,4,0,4,nagrawal
ui,product_115,1,4,0,3,31,2,dejan
report,product_10,1,4,0,11,8,2,pivmark
sysml,product_113,1,6,0,12,8,2,mdt-papyrus-inbox
debug,product_72,1,4,0,3,0,2,simon_kaegi
general,product_61,1,4,0,3,0,4,mmostafa
proposals and reviews,product_20,1,4,0,2,54,2,emo
ui,product_69,1,4,0,8,3,2,andre_weinand
compiler,product_7,1,4,0,4,3,2,aspectj-inbox
wst,product_168,1,6,0,5,274,2,lmandel
server,product_70,1,6,0,2,0,2,janb
general,product_114,1,6,0,31,231,2,ansgar.radermacher
team,product_117,1,4,0,3,5,2,jean-michel_lemieux
incubator,product_121,1,4,0,2,42,2,rap-inbox
ci,product_20,1,4,0,5,1,2,ci.admin-inbox
content,product_49,1,6,0,5,1,2,Chris.Sibbald
ui,product_69,1,4,1,2,0,2,jdt-ui-inbox
geclipse,product_173,1,4,0,4,31,4,mknauer
cdt,product_17,1,4,0,5,0,2,marc.khouzam
infrastructure,product_83,1,6,0,5,132,2,nicolas.bros
team,product_117,1,4,0,7,22,4,valentam
cdt,product_17,1,4,0,3,295,2,cdt-core-inbox
swt,product_117,1,4,1,20,3097,2,carolynmacleod4
autotools,product_173,1,4,0,2,48,2,jjohnstn
modeling,product_129,1,6,0,4,0,2,konstantin
data,product_10,1,6,0,4,1,2,lzhu
general,product_72,1,4,0,9,8,2,gorkem.ercan
ui,product_115,1,4,0,6,1,2,caniszczyk
cdt,product_17,1,4,0,3,5,2,aleherb+eclipse
samples,product_62,1,4,0,3,1,2,tatiana.fesenko
user,product_117,1,4,0,9,0,4,konradk
cdt,product_17,1,4,0,3,1,2,aleherb+eclipse
wtp.inc.xquery,product_other,1,6,0,7,68,2,sam.neth
core,product_69,1,4,0,2,0,2,srikanth_sankaran
incubator,product_52,1,4,0,2,1,2,unknown1
tptp,product_173,1,6,0,6,0,4,nevicosi
connector,product_other,1,4,0,3,0,2,sam.davis
core,product_144,1,4,0,2,0,2,tigerstripe.core-inbox
remote tools,product_118,1,4,0,10,44,2,dfferber
core,product_113,1,6,0,2,301,2,cletavernier
codegen,product_114,1,6,0,6,6,2,eposse
core,product_113,1,4,0,15,1181,5,cletavernier
other,product_20,1,4,0,2,0,2,webmaster
jst,product_168,1,6,0,11,50,2,rsinha
core,product_170,1,6,0,13,3,2,tmf.xtext-inbox
client,product_110,1,4,0,5,8,2,susan
cdt,product_17,1,4,0,3,98,2,john.camelon
framework,product_other,1,4,0,4,1,2,torkildr
releng,product_165,1,6,0,3,0,2,jeffliu
setup,product_108,1,4,0,7,0,2,stepper
demo,product_121,1,4,0,3,9,2,rap-inbox
ui,product_115,1,4,0,7,281,2,dejan
docker,product_78,1,4,0,6,152,2,xcoulon
tptp,product_173,1,4,0,10,288,2,kitlo
cvs,product_20,1,4,0,2,1,2,webmaster
client,product_110,1,4,0,2,1,2,simon_kaegi
rdt,product_118,1,4,0,2,7,2,mikekucera
cdt,product_17,1,4,0,3,34,2,mschorn.eclipse
core,product_106,1,4,0,7,8,2,mdt-ocl-inbox
ci,product_20,1,6,0,7,1,6,ci.admin-inbox
data,product_10,1,6,0,3,2,2,zzhu
java,product_91,1,4,0,2,9,2,mik.kersten
cdo,product_39,1,6,0,6,311,2,stepper
ui,product_115,1,4,0,3,7,2,pde-ui-inbox
swt,product_117,1,4,0,2,11,2,grant_gayed
swt,product_117,1,4,0,15,7,2,snorthov
foundation,product_31,1,4,0,3,164,2,jamesssss
website,product_9,1,4,0,3,4,2,babel.server-inbox
website,product_20,1,4,0,5,0,2,phoenix.ui-inbox
wst,product_167,1,6,0,6,7,6,lmandel
documentation,product_68,1,4,0,4,0,2,gerry.kessler
cdt,product_17,1,4,0,4,1,2,angvoz.dev
ui,product_69,1,4,0,3,1,2,martinae
ui,product_69,1,4,0,3,0,4,markus.kell.r
tptp,product_173,1,6,0,5,0,2,ruthdaly
tptp,product_173,1,6,0,9,3,5,ewchan
rwt,product_121,1,4,0,2,14,2,rap-inbox
other,product_129,1,6,0,4,7,1,konstantin
data,product_10,1,6,0,8,94,2,wtu
report,product_10,1,6,0,5,23,2,yChen
emf forms,product_33,1,6,0,2,2,2,jfaltermeier
servers,product_20,1,4,0,5,0,2,webmaster
gallery,product_104,1,6,0,3,65,2,nicolas.richeton
wst,product_167,1,6,0,3,4,2,for.work.things
client,product_110,1,4,0,2,2,2,libingw
cdt,product_17,1,4,0,6,2,2,mschorn.eclipse
tooling,product_36,1,4,0,2,0,2,efxclipse-inbox
wst,product_166,1,6,0,8,173,2,wtp-dev
cdt,product_17,1,4,0,2,580,2,cdt-core-inbox
other,product_other,1,4,0,4,97,5,mark.broerkens
gallery,product_104,1,4,0,5,424,4,nicolas.richeton
node,product_110,1,4,0,3,1,2,grant_gayed
ecf,product_29,1,4,0,5,0,2,ecf.core-inbox
ui,product_117,1,4,0,4,1,2,unknown
swt,product_117,1,4,0,2,0,4,bshingar
recommenders,product_173,1,4,0,5,0,2,siersciotluk
ui,product_144,1,6,0,3,849,2,rcraddoc
cdt,product_17,1,4,0,2,2,2,jjohnstn
cosmos,product_173,1,4,0,3,92,2,sadravid
cdt,product_17,1,4,0,2,0,2,cdt-debug-inbox
core,product_other,1,6,0,6,1,2,elitani
cdt,product_17,1,4,0,5,1,2,oleg.krasilnikov
report,product_10,1,6,0,5,3,2,cyfgod
unknown,product_154,1,6,0,2,40,2,glyn.normington
edt,product_173,1,6,0,4,2,4,edt.language-inbox
framework,product_52,1,4,0,3,55,2,equinox.framework-inbox
cdt,product_17,1,4,0,5,14,2,eclipse.sprigogin
jpa,product_31,1,4,0,6,27,2,guy.pelletier
tptp,product_173,1,6,0,9,1,4,smith
ci,product_20,1,4,0,2,0,2,ci.admin-inbox
proposals and reviews,product_20,1,4,0,3,9,2,emo
incubator,product_52,1,4,0,5,0,2,john.arthorne
chart,product_10,1,6,0,4,1,2,yi.wang
code assist,product_116,1,6,0,3,0,2,php.ui-inbox
ci,product_20,1,4,0,3,0,6,ci.admin-inbox
general,product_72,1,4,0,2,0,2,vrubezhny
core,product_74,1,6,0,3,0,2,markus.tiede
ui,product_139,1,4,0,2,0,2,igor.burilo
mosquitto,product_173,1,4,0,3,0,2,roger
jst,product_164,1,4,0,4,2,6,ccc
core,product_113,1,6,0,3,13,2,mdt-papyrus-inbox
stp,product_173,1,4,0,3,336,6,oisin.hurley
swtbot,product_140,1,4,0,4,0,2,swtbot-inbox
framework,product_52,1,4,0,8,69,2,equinox.framework-inbox
framework,product_101,1,4,0,4,0,2,sam.davis
scout,product_131,1,6,0,4,150,2,scout.core-inbox
other,product_other,1,4,0,3,307,2,dirigible-inbox
wst,product_161,1,6,0,5,3,5,jlanuti
rwt,product_121,1,4,0,5,151,2,rap-inbox
cdt,product_17,1,4,0,3,13,2,andrew.niefer
tptp,product_173,1,6,0,7,19,5,bjiang
cdt,product_17,1,4,0,6,2,2,mschorn.eclipse
connector,product_other,1,4,0,7,4,2,steffen.pingel
rse,product_141,1,4,0,5,0,2,dmcknigh
ui,product_117,1,4,0,4,6,2,eclipse
ui,product_117,1,4,0,3,50,2,Randy_Giffen
website,product_20,1,4,0,68,7,2,phoenix.ui-inbox
update,product_117,1,4,0,3,3,4,celek
client,product_110,1,4,0,2,0,2,ahunter.eclipse
debug,product_69,1,6,0,7,1,2,jdt-debug-inbox
core,product_other,1,4,0,23,242,2,engine.qvtr-inbox
hyades,product_173,1,6,0,4,3,2,dguilbaud
wst,product_168,1,4,0,2,47,2,david_williams
releng,product_165,1,4,0,6,310,2,hjzhang
framework,product_52,1,4,0,8,1,4,equinox.framework-inbox
core,product_142,1,4,0,2,1,2,eugenet
core,product_62,1,4,0,6,2,2,borlander
general,product_other,1,6,0,9,8,2,bennettar
chart,product_10,1,6,0,3,2,2,wangy
query,product_153,1,4,0,2,0,2,zoltan.ujhelyi
framework,product_52,1,4,0,7,3,2,andrew.niefer
bundles,product_109,1,4,0,4,0,2,give.a.damus
ui,product_69,1,4,0,4,555,2,martinae
ui,product_117,1,4,0,4,1,4,dejan
jpa,product_31,1,4,0,4,257,4,eclipselink.orm-inbox
ui,product_117,1,4,0,5,47,2,kdkelley
eclipsecon,product_20,1,6,0,17,62,2,leftylynn
xtext,product_146,1,6,0,6,119,2,tmf.xtext-inbox
ui,product_117,1,4,0,4,14,4,michaelvanmeekeren
doc,product_21,1,4,0,3,14,2,rick.sapir
p2,product_52,1,4,0,2,0,2,equinox.p2-inbox
sdo,product_31,1,4,0,5,2,2,blaise.doughan
scout,product_131,1,6,0,6,0,2,scout.core-inbox
server,product_9,1,4,0,5,0,2,denis.roy
resources,product_117,1,4,0,7,178,4,Szymon.Brandys
others,product_113,1,4,0,4,12,2,mickael.adam29
user,product_117,1,4,0,3,1,2,konradk
server,product_70,1,6,0,1,0,1,jetty-inbox
wst,product_161,1,4,0,5,228,2,ccc
gerrit,product_20,1,4,0,2,0,2,webmaster
tools,product_128,1,6,0,5,0,2,d-russo
report,product_10,1,6,0,8,8,2,thuang
swt,product_117,1,4,0,18,20,4,grant_gayed
general,product_61,1,4,0,5,16,5,mmostafa
releng,product_117,1,4,0,14,0,2,kim.moir
website,product_20,1,4,0,3,0,2,wayne.beaton
ui,product_74,1,6,0,5,2,2,markus.tiede
ui,product_117,1,4,0,7,65,2,francisu
ui,product_69,1,4,0,11,24,2,jerome_lanneluc
update,product_117,1,4,0,8,457,2,birsan
tasks,product_91,1,4,0,4,17,2,robert.elves
tmf,product_other,1,4,0,4,0,2,patrick.tasse
deployment,product_110,1,4,0,2,4,2,Michael_Rennie
website,product_116,1,6,0,4,3,2,seva.lapsha
report,product_10,1,6,0,4,27,2,cyu
higgins,product_173,1,6,0,5,7,2,pkimlach
cdt,product_17,1,4,0,2,5,2,mschorn.eclipse
wst,product_168,1,4,0,4,0,2,kchong
data,product_10,1,6,0,6,34,2,xwu
core,product_69,1,4,0,6,1,2,jerome_lanneluc
sql,product_23,1,6,0,3,2,5,hui.cao
tasks,product_91,1,4,0,3,78,2,steffen.pingel
core,product_139,1,4,0,3,16,4,a.gurov
cdt,product_17,1,4,0,2,4,2,gheorghe
debugger,product_116,1,6,0,3,0,5,php.ui-inbox
ui,product_115,1,4,0,7,38,2,janek.lb
rwt,product_121,1,4,0,9,466,2,rap-inbox
others,product_113,1,4,0,8,6,2,ansgar.radermacher
team,product_117,1,4,0,2,1,2,platform-team-inbox
buckminster,product_173,1,4,0,2,0,2,karel.brezina
compendium,product_52,1,4,0,6,0,4,equinox.compendium-inbox
cosmos,product_173,1,6,0,3,12,2,hkyleung
hyades,product_173,1,6,0,3,4,2,paulslau
bugzilla,product_20,1,4,0,3,1,2,webmaster
swt,product_117,1,4,0,5,0,2,skovatch
git,product_20,1,4,0,2,1,2,webmaster
chart,product_10,1,6,0,15,30,2,xzhu
debug,product_69,1,4,0,7,4136,2,sarika.sinha
ui,product_74,1,6,0,5,1,2,markus.tiede
releng,product_117,1,4,0,2,2,2,kim.moir
tool,product_49,1,6,0,4,1,2,pnle
cosmos,product_173,1,6,0,6,23,2,bsubram
ve,product_173,1,6,0,6,4,2,sgunturi
ui,product_69,1,4,0,4,16,2,tobias_widmer
general,product_61,1,4,0,4,0,4,ahunter.eclipse
report,product_10,1,6,0,3,4,4,linhongc
report,product_10,1,4,0,4,1,2,hustlg
compendium,product_52,1,4,0,4,3,2,s.boshev
report,product_10,1,6,0,3,0,5,yuejie.chen
team,product_117,1,6,0,7,11,2,eclipse
core,product_128,1,6,0,4,105,2,d-russo
lttng,product_78,1,6,0,5,0,2,fchouinard
connectivity,product_23,1,6,0,3,0,4,bfitzpat
team,product_117,1,4,0,2,71,2,valentam
bugzilla,product_91,1,4,0,4,2,5,robert.elves
rwt,product_121,1,4,0,8,7,4,rap-inbox
releng,product_117,1,4,0,22,166,2,kim.moir
editor,product_116,1,6,1,5,21,2,php.ui-inbox
jst,product_166,1,6,0,7,190,2,deboer
others,product_113,1,4,0,4,1,2,mickael.adam29
cdt,product_17,1,4,0,4,14,2,malaperle
ui,product_69,1,4,0,3,2,2,akiezun
data,product_10,1,6,0,4,0,4,xma
user,product_117,1,4,0,3,11,2,konradk
jst,product_167,1,4,0,4,11,2,nsand.dev
ui,product_115,1,4,0,6,57,2,pde-ui-inbox
git,product_20,1,6,0,2,0,2,webmaster
data access,product_10,1,4,0,3,9,2,lchan
swt,product_117,1,4,0,10,42,2,platform-swt-inbox
xtext,product_146,1,6,0,10,2,2,tmf.xtext-inbox
cosmos,product_173,1,6,0,7,0,2,jagmits
other,product_other,1,4,0,2,6,5,dirigible-inbox
jpa,product_21,1,4,0,4,717,2,neil.hauge
rwt,product_121,1,4,1,12,2,2,rap-inbox
cdt,product_17,1,6,0,4,50,2,andrew.niefer
ui,product_117,1,4,0,4,22,2,shaun
compiler,product_7,1,4,0,9,61,2,adrian.colyer
emf forms,product_33,1,6,0,3,222,2,eneufeld
report,product_10,1,4,0,3,5,2,xuelan.li
ui,product_69,1,4,0,3,6,2,martinae
framework,product_52,1,4,0,10,1,4,tjwatson
xtext,product_146,1,6,0,3,2,2,tmf.xtext-inbox
hyades,product_173,1,6,0,5,12,4,curtispd
ecf,product_29,1,4,0,3,0,4,slewis
hyades,product_173,1,6,0,6,3,6,slavescu
code assist,product_116,1,6,0,3,5,2,guy.g
cdt,product_17,1,4,0,2,3,2,aleherb+eclipse
ui,product_115,1,4,0,7,5,4,konradk
server,product_70,1,6,0,2,270,2,gregw
update,product_117,1,4,0,12,31,2,andrew.niefer
ui,product_117,1,4,0,9,4,2,tmccrary
general,product_114,1,6,0,8,435,2,rschnekenburger
ui,product_69,1,4,0,7,181,2,martinae
ui,product_115,1,4,0,3,288,2,Vikas.Chandra
git,product_110,1,4,0,3,218,2,tomasz.zarna
proposals and reviews,product_20,1,4,0,4,90,2,emo
vjet,product_173,1,4,0,2,0,2,earlyster
ci,product_20,1,4,0,4,1,2,ci.admin-inbox
hyades,product_173,1,6,0,9,3,2,curtispd
runtime,product_36,1,4,0,4,0,2,efxclipse-inbox
wst,product_167,1,4,0,4,0,2,wtp.inc.xsl-inbox
general,product_72,1,4,0,2,8,2,lbustelo
resources,product_117,1,4,0,5,30,2,eclipse
js tools,product_110,1,4,0,4,0,2,Olivier_Thomann
core,product_113,1,4,0,3,126,2,cletavernier
tptp,product_173,1,6,0,6,0,2,aeberbac
git,product_20,1,4,0,3,23,4,webmaster
team,product_117,1,4,0,2,1,2,James_Moody
core,product_other,1,6,0,3,3,2,vgeorgieva
framework,product_52,1,4,0,5,10,2,tjwatson
geclipse,product_173,1,6,0,4,45,2,mael
remote,product_118,1,4,0,24,185,2,g.watson
jst,product_166,1,6,0,7,0,2,gorkem.ercan
tptp,product_173,1,6,0,6,0,5,ewchan
dash athena,product_173,1,4,0,5,0,2,dash.commonbuilder-inbox
compiler,product_7,1,4,0,4,0,2,aclement
ecf,product_29,1,4,0,2,0,2,ecf.core-inbox
report,product_10,1,6,0,4,0,2,zqian
framework,product_52,1,4,0,4,118,2,equinox.framework-inbox
ci,product_20,1,4,0,4,0,6,ci.admin-inbox
other,product_108,1,4,0,2,0,2,stepper
update,product_117,1,4,0,3,1735,2,platform-update-inbox
hyades,product_173,1,6,0,6,1,2,ewchan
team,product_117,1,4,0,3,0,2,James_Moody
ui,product_129,1,6,0,4,4,2,konstantin
core,product_133,1,6,0,18,165,2,pierre-charles.david
tptp,product_173,1,6,0,3,3,4,nevicosi
core,product_113,1,4,0,2,552,2,yann.tanguy
core,product_62,1,4,0,9,1,4,dimzzy
ui,product_115,1,4,0,5,1,2,cherie.wong
tptp,product_173,1,6,0,4,140,2,samwai
jpa,product_31,1,6,0,10,401,2,peter.krogh
update,product_117,1,4,0,2,0,2,birsan
ui,product_69,1,4,0,3,17,2,akiezun
ui,product_115,1,4,0,10,30,2,peter
core,product_91,1,4,0,6,6,4,steffen.pingel
ui,product_117,1,4,0,15,184,2,mdelder
resources,product_117,1,4,0,3,3,2,john.arthorne
other,product_other,1,6,0,6,0,2,wb.rcp-inbox
website,product_20,1,6,0,2,0,2,edouard
swt,product_117,1,4,0,6,48,2,snorthov
hyades,product_173,1,6,0,4,37,2,scott.schneider
samples,product_62,1,4,0,3,1,4,borlander
team,product_117,1,4,0,2,1,2,silvio_boehler
bugzilla,product_91,1,4,0,5,0,2,robert.elves
framework,product_21,1,4,0,3,6,2,dali.framework-inbox
git,product_110,1,4,0,5,0,6,mamacdon
text,product_117,1,4,0,3,24,1,eclipse
